frases,categorias
Estou no exterior e meu cartão está bloqueado.,bloqueio
Como aviso viagem para evitar o bloqueio do cartão?,bloqueio
Meu cartão bloqueou por erro de senha e agora?,bloqueio
Quero bloquear todas as compras online.,bloqueio
O aplicativo não deixa eu fazer o bloqueio do cartão.,bloqueio
Vocês podem bloquear o pagamento por aproximação?,bloqueio
O cartão foi furtado junto com minha bolsa preciso bloquear tudo.,bloqueio
Quero bloquear meu cartão imediatamente por suspeita de fraude.,bloqueio
Como sei se meu cartão está bloqueado?,bloqueio
Tem como bloquear só para compras internacionais?,bloqueio
Preciso bloquear o cartão porque a validade expirou.,bloqueio
Esqueci a senha de 4 dígitos do meu cartão de crédito.,senha
Tentei passar o cartão na padaria e bloqueou por erro de senha.,senha
Onde no aplicativo eu consigo alterar a minha senha atual?,senha
Como cadastrar uma senha nova para o cartão que chegou?,senha
Minha senha do cartão foi bloqueada como desbloqueio?,senha
Qual é a senha que uso para compras online?,senha
Dá para trocar a senha do cartão no caixa eletrônico?,senha
Não lembro a senha de letras do cartão.,senha
Posso colocar a mesma senha no cartão de débito e crédito?,senha
Como recuperar a senha se eu não tenho a antiga?,senha
Onde encontro a senha inicial do meu cartão novo?,senha
Quero uma senha mais forte como mudo?,senha
A senha do aplicativo é a mesma do cartão físico?,senha
Errei a senha três vezes e agora?,senha
Quero cadastrar a biometria para não usar mais senha.,senha
A senha do cartão adicional é igual a do titular?,senha
Como o adicional cria a própria senha?,senha
Não recebi a senha do meu cartão por SMS.,senha
A senha vem junto com a carta do cartão?,senha
Quero ver minha senha no aplicativo mas dá erro.,senha
Consigo trocar a senha ligando na central?,senha
A maquininha disse senha incorreta mas eu tenho certeza que acertei.,senha
Preciso de uma senha provisória.,senha
Como mudar a senha de 6 dígitos?,senha
Para compras por aproximação até qual valor não pede senha?,senha
Consigo parcelar o valor total da minha fatura de março?,parcelamento
Quero simular um parcelamento em 12 vezes qual é o juros?,parcelamento
Como funciona o parcelamento de fatura atrasada?,parcelamento
Posso parcelar uma compra específica depois que ela já foi aprovada?,parcelamento
O que compensa mais pagar o mínimo ou fazer parcelamento?,parcelamento
Se eu parcelar a fatura meu limite é liberado aos poucos?,parcelamento
Quero cancelar o parcelamento automático que fizeram.,parcelamento
Como antecipar as parcelas de uma compra e ter desconto?,parcelamento
Fiz um parcelamento e me arrependi dá para cancelar?,parcelamento
Quais as opções de parcelamento para essa fatura?,parcelamento
A loja não dividiu minha compra o banco parcela pra mim?,parcelamento
O parcelamento da fatura cobra IOF?,parcelamento
Quero pagar o dobro da parcela esse mês.,parcelamento
Não consegui pagar a parcela desse mês o que acontece?,parcelamento
Como funciona o crédito rotativo versus parcelamento?,parcelamento
Tem limite de vezes para parcelar a fatura?,parcelamento
A entrada do parcelamento pode ser de qualquer valor?,parcelamento
Posso renegociar um parcelamento de fatura antigo?,parcelamento
Como simular o parcelamento pelo aplicativo?,parcelamento
Os juros do parcelamento da fatura são muito altos.,parcelamento
Quero quitar todas as parcelas do meu celular de uma vez.,parcelamento
Existe parcelamento sem juros da fatura?,parcelamento
Se eu parcelar em 24 vezes quanto fica cada parcela?,parcelamento
A fatura já fechou ainda consigo parcelar?,parcelamento
Onde vejo quantas parcelas ainda faltam pagar?,parcelamento
Quais são as taxas se eu atrasar o pagamento do cartão de crédito?,anuidade e taxas
Veio cobrando anuidade na fatura quero cancelar essa taxa.,anuidade e taxas
Como faço para ter isenção da anuidade do cartão?,anuidade e taxas
Qual o valor da anuidade do cartão Black?,anuidade e taxas
O que é essa taxa de avaliação emergencial de crédito na fatura?,anuidade e taxas
Me cobraram IOF por que?,anuidade e taxas
Tem taxa para sacar dinheiro no caixa eletrônico com o cartão de crédito?,anuidade e taxas
Pago anuidade no cartão adicional?,anuidade e taxas
Se eu não usar o cartão pago anuidade?,anuidade e taxas
Vocês devolveram o valor mas não estornaram as taxas.,anuidade e taxas
Quero negociar o valor da minha anuidade ou vou cancelar.,anuidade e taxas
Quanto custa a segunda via do cartão físico?,anuidade e taxas
Existe alguma taxa de manutenção de conta?,anuidade e taxas
Quais as tarifas para comprar em site internacional?,anuidade e taxas
A anuidade é cobrada por mês ou por ano?,anuidade e taxas
Falaram que meu cartão era sem anuidade pra sempre.,anuidade e taxas
Posso pagar a anuidade com meus pontos do cartão?,anuidade e taxas
Gostaria de contestar a cobrança de anuidade diferenciada.,anuidade e taxas
O que é tarifa de saque na fatura?,anuidade e taxas
Tem taxa para usar o cartão no Apple Pay?,anuidade e taxas
Por que estou pagando juros de mora?,anuidade e taxas
Se eu pagar atrasado a multa é de quantos por cento?,anuidade e taxas
Quais taxas incidem sobre o crédito rotativo?,anuidade e taxas
Posso trocar meu cartão por um sem anuidade?,anuidade e taxas
Onde vejo o contrato com todas as taxas do cartão?,anuidade e taxas
O cartão virtual expira depois de usar uma vez só ou fica salvo?,cartão virtual
Como eu crio um cartão virtual para comprar na internet?,cartão virtual
O limite do cartão virtual é o mesmo do físico?,cartão virtual
Apaguei meu cartão virtual as compras parceladas vão ser canceladas?,cartão virtual
Posso usar o cartão virtual na maquininha por aproximação?,cartão virtual
Não estou conseguindo gerar um novo cartão virtual.,cartão virtual
O CVV do cartão virtual muda toda hora?,cartão virtual
Quantos cartões virtuais eu posso ter ao mesmo tempo?,cartão virtual
Posso colocar o cartão virtual no Uber e no iFood?,cartão virtual
Qual o nome impresso que eu coloco na compra com cartão virtual?,cartão virtual
O cartão virtual tem custo ou taxa extra?,cartão virtual
Como consulto os números do meu cartão virtual no app?,cartão virtual
Posso criar um cartão virtual para o meu dependente?,cartão virtual
O cartão físico não chegou posso usar o virtual?,cartão virtual
Fiz uma compra e clonaram meu cartão virtual.,cartão virtual
A fatura do cartão virtual é separada da do físico?,cartão virtual
Como eu bloqueio apenas o cartão virtual?,cartão virtual
Meu cartão virtual está dando compra negada.,cartão virtual
O vencimento do cartão virtual é diferente?,cartão virtual
Tem como criar um cartão virtual que dura só 24 horas?,cartão virtual
Posso pagar assinaturas online com o cartão virtual recorrente?,cartão virtual
Onde fica a opção de cartão virtual no menu?,cartão virtual
O cartão virtual também pontua no programa de milhas?,cartão virtual
A validade do meu cartão virtual expirou.,cartão virtual
Posso gerar um cartão virtual só para Netflix e Spotify?,cartão virtual
Quantos pontos eu tenho acumulados no programa do cartão?,benefícios
Como eu troco minhas milhas por desconto na minha próxima fatura?,benefícios
Meu cartão dá direito a sala VIP em aeroporto?,benefícios
Como funciona o cashback das minhas compras?,benefícios
Aonde vejo o catálogo de produtos para trocar meus pontos?,benefícios
Meus pontos expiram em quanto tempo?,benefícios
Como transfiro pontos do cartão para a Smiles?,benefícios
Tem promoção de transferência bonificada essa semana?,benefícios
Qual a regra de conversão de dólar para pontos no meu cartão?,benefícios
Quero ativar o seguro viagem gratuito do meu cartão.,benefícios
Tenho direito ao seguro proteção de preço?,benefícios
Como aciono a garantia estendida do cartão de crédito?,benefícios
Onde vejo os restaurantes com desconto para quem tem esse cartão?,benefícios
Quero me cadastrar no programa Mastercard Surpreenda.,benefícios
Como usar os benefícios do Vai de Visa?,benefícios
O cartão tem assistência veicular gratuita?,benefícios
Meu cashback não caiu na fatura desse mês.,benefícios
Quantos pontos ganho a cada dólar gasto?,benefícios
Consigo comprar passagem aérea só com pontos pelo aplicativo?,benefícios
Existe limite de cashback mensal?,benefícios
A anuidade pode ser zerada pelo programa de benefícios?,benefícios
Como acesso a sala VIP LoungeKey com o meu cartão?,benefícios
Quero saber todos os benefícios da categoria Platinum.,benefícios
Posso dar meus pontos para outra pessoa?,benefícios
Onde pego o voucher de desconto para aluguel de carros?,benefícios
